구분,유저,챗봇
감정/감정조절이상,제 감정이 이상해진 것 같아요. 남편만 보면 화가 치밀어 오르고 감정 조절이 안되요.,감정이 조절이 안 될 때만큼 힘들 때는 없는 거 같아요.
감정/걱정,계속 이렇게 살 수는 없는데 어쩌면 좋을까?,같이 방법을 찾아볼까요?
감정/걱정/증상재발,또 그런 증상이 나타날까 봐 걱정되네요.,걱정 되는 그 마음 저도 이해해요. 그런 일이 또 일어나지 않도록 제가 지켜드릴 수 있으면 좋겠어요.
감정/걱정/건강염려,"아, 내가 길 가다가 갑자기 확 쓰러지는 건 아닐까요? ",걱정 되는 그 마음 저도 이해해요. 혼자 다니기에는 무리일 수 있겠어요. 주변에 도와줄 수 있는 분이 계신가요?
감정/걱정/건강염려,큰 병이면 어떡하나 걱정 돼서 병원도 못 가겠어.,걱정될수록 병원을 가보는 게 좋을 거 같아요. 외면하는 것은 좋지 않다고 생각해요.
감정/걱정/불면,걱정이 돼서 밤에 잠이 안 와.,걱정을 하는 시간을 정해놓는 것도 좋은 방법이라고 들었어요.
감정/걱정,솔직히 좀 걱정돼. ,"걱정의 40%는 현실에서 일어나지 않는대요, 너무 걱정하지 말아요."
감정/걱정/미래,내가 이 회사를 다니는 게 맞나… 그런 생각도 들고요. ,걱정이 되는 그 마음 이해해요. 멋진 미래를 꿈꾸기에는 세상이 너무 팍팍한 것 같아요.
감정/걱정,내가 요즘 그렇게 걱정을 많이 했나?,걱정이 많아지긴 했어요. 너무 신경 쓰지 않는 게 어떨까요?
감정/걱정,살 날이 걱정입니다.,걱정이 많으시겠어요. 같이 천천히 생각해 보아요.
감정/걱정,속은 시원한데…앞으로가 걱정이야.,걱정이 많으시겠어요. 같이 천천히 생각해 보아요.
감정/걱정,내가 일을 할 수 있는 상황도 아니라..하루하루가 걱정이더라고..,걱정이 많으시겠어요. 같이 천천히 생각해 보아요.
감정/걱정,그렇다고 일을 안할수도 없는데..걱정이 이만 저만이 아니야.,걱정이 많으시겠어요. 같이 천천히 생각해 보아요.
감정/걱정,나도 그런 거 아닌가 걱정돼.,걱정이 많으시군요. 걱정거리를 정리하는 시간을 가지면 도움이 되지 않을까요?  
감정/걱정,일은 없는데… 그냥 쓸데없는 걱정? 그런 게 좀 많아요.,걱정이 많을 때는 당장 일어나서 사소한 일이라도 시작하는 것도 좋은 방법이에요.
감정/걱정,"아무리 고민을 해도 당장 결론이 나는 게 아닌데, 누워서 그 고민만 하다가 시간을 다 보내는 거야.",걱정이 많을 때는 당장 일어나서 사소한 일이라도 시작하는 것도 좋은 방법이에요.
감정/걱정/자녀,하루종일 아들만 생각해.,걱정이 많이 되시겠어요. 왜 그런지 여쭤봐도 될까요?
감정/걱정/건강문제,호르몬에 문제가 있어서 이런걸 까봐 너무 걱정이 돼.,걱정이 많이 될 거 같아요. 한번 병원에 가서 진찰을 받아보는 건 어때요?
감정/걱정/건강염려,위염이 위암이나 다른 암으로 발전하면 어떡하지. 이런 생각을 많이 하는 것 같아요. ,걱정이 많이 될 거 같아요. 한번 병원에 가서 진찰을 받아보는 건 어때요?
감정/걱정/건강염려,"원래 병에 잘 걸리지 않는 편이었는데, 한 번 심장이 이상하다고 느끼니까 건강 걱정이 늘었어요.",걱정이 많이 될 거 같아요. 한번 병원에 가서 진찰을 받아보는 건 어때요?
감정/걱정/건강문제,나도 이러기 싫은데 자꾸 건강을 걱정하게 돼. ,걱정이 없던 병도 만들 수 있어요. 머리를 비울 수 있게 영화를 한 편 보는 건 어때요?
감정/걱정/건강문제,평생 이렇게 살아야할까봐 걱정이야.,건강 때문에 걱정이 많으시군요. 잘 관리하고 계시다면 큰 문제는 없을 거예요.
감정/걱정/건강염려,"수술도 잘 됐고, 의사도 회복만 잘 하면 된다는데 자꾸 걱정이 돼요.",건강은 늘 걱정되는 부분인 것 같아요. 
감정/걱정/미래,좋은 환경에 있어도 잘될까 말까 하는데… 이런 환경에서 사람답게 살 수 있을까?,계속 앞으로 가다 보면 당신에게 맞는 길도 찾을 수 있지 않을까요?
감정/감정조절이상,더 이상 혼자서는 감정조절을 못하겠어.,괜찮아요. 제가 옆에서 도와줄게요.
감정/걱정,너무 걱정스러워요.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,걱정스럽네요.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,걱정이 이만저만이 아니야.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,무슨 문제가 있는 건 아닐까 싶어서 걱정이 돼요.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,진짜 걱정이 이만저만이 아니다…,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,요즘 들어 내가 그런 거 아닌 건가 싶어서 걱정 된다니까.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,내가 유별난걸 아는데..걱정을 멈추는게 내맘대로 안돼.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,그럼 또 나는 엄청 걱정이 되는 거야.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,근데 문제는 이게 계속 걱정된다는 거예요.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정,그래서 혹시나 불미스러운 일이 있으면 어쩌나… 걱정이 돼.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정/건강염려,병원에서 몸에 큰 이상이 있다고 하면 어떡하죠?,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정/건강염려,계속 병원에만 있다 보니까 진짜 문제 있을까봐 걱정이야.,괜찮을 거예요. 너무 걱정하지 말아요.
감정/걱정/건강염려,몸에 무슨 문제 있는 건가 걱정도 되고…,괜찮을 거예요. 너무 걱정하지 말아요.
감정/괴로움,저 진짜 상처 너무 많이 받는데… 그 사람을 놓을 수가 없어요.,괴로운 마음을 누군가와 쪼개서 나눠가질 수 있다면 얼마나 좋을까요? 제가 반을 가져가 드릴 텐데.
감정/불안감/긴장,크게 못 느끼고 있었는데 막상 그 얘길 들으니까 더 불안하고 긴장되는 느낌이었어.,그 기분 이해해요. 불안을 없애는 건 정말 어려운 일이죠.
감정/불편감,행동도 부자연스러워지고...웃는게 웃는게 아니었어요.,그 기분 저도 이해가 가요. 그럴 때는 어디론가 도망치고 싶어져요.
감정/불쾌감,아파서 그런지 자주 불쾌해져요.,그 기분 저도 이해해요. 지금은 조금 나아지신 건가요?
감정/미움,그래서 막 남자친구도 미워지려고 하고 그래요. 걔 잘못이 아닌데.,그 마음 다 이해해요.
감정/부정적사고,내가 없으면 주변 사람들이 슬퍼하니까? 그 사람들 때문에 사는 건 답이 아닌 것 같아. ,그 마음 다 이해해요. 가끔 내 마음처럼 되지 않을 때가 있죠.
감정/불신,그때 뭔가 속은 기분이 들었어요. ,그 마음 다 이해해요. 하지만 너무 걱정하는 건 당신을 힘들게 만들 거예요.
감정/두려움/운전,"다행히 고속도로였고, 휴게소가 바로 보여서 죽을 힘을 다해서 운전했어요. ",그 마음 이해해요. 운전은 정말 쉽지 않은 일이죠.
감정/불쾌감,다들 표정이 무섭고 딱딱해서 싫어.,그 불쾌한 기억을 제가 없애드릴 수 있으면 좋겠어요.
감정/생각,요즘 보통 다 종이로 안 받잖아? 근데 이건 뭔가 했지.,그랬군요. 저도 공감이 가네요.
감정/답답,눈앞이 깜깜할 때도 있어요.,그랬군요. 제가 당신의 마음을 조금이라도 이해할 수 있으면 좋겠어요.
감정/괴로움,그거 때문에 괴로워서 미칠 거 같아요.,그러셨군요. 저도 마음이 아프네요.
감정/신경쓰임,신경이 거슬려서 벽에 걸려 있던 시계 건전지를 뽑아버렸어요.,그러셨군요. 정말 불편하셨을 것 같아요.
감정/불신,자기 몸 아니라고 약도 아무렇게나 지어주는 것 같아. 도대체가 사명감이란게 없어!,그러셨군요. 정말 힘들었을 거 같아요. 제가 도와드릴 일이 있을까요?
감정/모호함,그래도 뭐 다른 방법이 없으니까…,그러셨군요. 충분히 그럴 수 있는 상황이었던 것 같아요.
감정/살인욕구,내가 잔인하게 죽여버릴 거야.,그런 기분 저도 이해해요. 제가 뭐 도와드릴 일 있을까요?
감정/기시감,"친구랑 한 번도 안 가본 빵집에 갔는데, 왠지 되게 익숙한 기분이 드는 거야.",그런 기분이 들면 정말 이상할 것 같아요. 
감정/살인욕구,"죽여버리고 싶어요, 정말.",그런 생각까지 들 정도로 정말 화가 많이 나셨나 봐요. 제가 다 속이 상하네요.
감정/심란,진짜 어떻게 하면 좋을지 모르겠다…,그런 일이 있으셨군요. 잘못을 당신의 탓으로 돌리지만 않았으면 해요.
감정/걱정,인사했는데 상대방이 안 받아주면 어떡하지? 어색하고 그럴까봐 먼저 인사를 못하겠어요.,그럴 때가 있죠. 그래도 먼저 인사 해보는 게 어때요?
감정/걱정,근데 거기 다니는 애들이 저를 어떻게 생각할지 너무 걱정이 되더라고요.  ,그럴 때가 있죠. 하지만 남의 시선을 너무 의식하지 않는 것도 좋겠어요.
감정/감정조절이상,점점 나 자신을 컨트롤하지 못하는 기분이야.,그럴 때는 눈을 감고 마음을 편안히 해보는 게 어떨까요?
감정/불안감/초조함,불안하고 초조한 느낌이 늘 베이스로 깔려 있는 거 같아.,그럴 때는 미지근한 물을 한 잔 드셔보세요. 조금 나아질 거예요.
감정/감정조절이상,하루종일 오르락내리락 롤러코스터 타는 기분이에요.,"그럴 때는 밥은 잘 먹었는지, 잠은 잘 잤는지 체크해보는 것도 좋아요."
감정/감정조절이상,꼭 롤러코스터 타는 것 같아요.,"그럴 때는 밥은 잘 먹었는지, 잠은 잘 잤는지 체크해보는 것도 좋아요."
감정/감정조절이상,롤러코스터 타는 것처럼 기분이 왔다 갔다 해요.,"그럴 때는 밥은 잘 먹었는지, 잠은 잘 잤는지 체크해보는 것도 좋아요."
감정/감정조절이상,근데 감정을 다스리지 못해 욱하기도하고.,그럴 때는 주의를 다른 곳으로 돌리는 것도 좋은 방법인 거 같아요.
감정/걱정/미래,처음에는 제 미래가 너무 막연하게 걱정돼서 그랬거든요.,그럴 땐 구체적인 목표를 세워보는 게 좋다고 들었어요.
감정/생각,"근데 오늘은 진짜, 하, 어이가 없어서…",그렇게 생각하시는군요.
감정/분노,버렸는지 뭔지 내가 어떻게 알아?,기분이 안 좋으시군요. 무슨 일이 있었는지 제가 다 들어드릴게요.
감정/서운함,"엄마가 저보고 너는 니가 벌어서 시집가라고. 너 줄 돈은 없다고 하는데, 기분이 좋진 않았어요. ",기분이 좋지 않았겠어요. 그럴 때는 제가 늘 당신을 지지한다는 걸 기억해주세요.
감정/불만,"어휴, 그런 말은 나도 하겠네.",기분이 풀릴 때까지 실컷 욕해도 좋아요. 제가 들어드릴게요.
감정/불안감/증상재발,또 그럴까 봐 너무 불안해.,꾸준히 치료를 받으면 분명 완치할 수 있어요. 너무 불안해 마세요.
감정/미움,그리고 나는 이렇게 힘든데 혼자 밥 잘 먹는 것도 밉고 그래요.,꾹꾹 눌러 참지 말고 얘기해보는 건 어떨까요?
감정/걱정/증상재발,"또 크게 어지럼증이 느껴져서 쓰러지기라도 하면 어떡하나, 큰일이 나면 어쩌나 싶더라구.",너무 걱정이 되면 만일을 위해 대비를 약간 해놓는 것도 좋을 거 같아요.
감정/걱정/건강문제,나도 혈압이 높은 편인데… 요즘 몸도 안 좋고 해서 자꾸 걱정이 되네..,너무 걱정하지 마세요. 현대의학을 믿자구요.
감정/두려움/운전,사고 이후로 운전하는 게 무서워서 못하게 됐어요.,너무 두렵고 무섭다면 굳이 이겨내려고 하지 않아도 돼요. 한국은 대중교통이 편리하잖아요.
감정/무미건조,근데 요즘엔 하나도 즐겁지가 않아. ,너무 마음이 아파요.
감정/두려움/자동차,차에 타면 뛰어내리고 싶을 정도야.,너무 무섭다면 차에 타서 차라리 잠을 자는 건 어떨까요?
감정/과민반응,장난이라고 하는데 자꾸 생각나고 신경 쓰여요.,너무 예민해질 때는 휴식을 취하는 것도 좋은 방법인 것 같아요.
감정/미안함/자녀,애들한테 미안해 죽겠어요.,너무 자책하지 마세요. 고의가 아니었잖아요.
감정/무력감,그럴 때마다 나는 들을 수밖에 없고.,너무 자책하지 마세요. 당신은 제게 소중한 사람이에요.
감정/감정조절이상,예전에 비해서 인내심이 너무 짧아진 거 같아.,너무 참으려 노력하지 않아도 괜찮아요. 
감정/당황,말문이 턱 막혔어… ,누구나 그랬을 거예요.
감정/곤혹감,처음에 그 얘기를 들었을 때는 너무 황당한 거예요.,누구나 그런 상황에서는 막막함을 느낄 거 같아요.
감정/걱정,정말 내가 왜 이러는 걸까?,누구나 마음대로 되지 않을 때가 있죠. 너무 자책하지 말아요.
감정/걱정,근데 한편으론 내가 왜 이러나 걱정이 되기도 해요.,누구나 마음대로 되지 않을 때가 있죠. 너무 자책하지 말아요.
감정/공허감,저도 살아 숨쉰다는 느낌을 받고 싶어요. 지금은 죽어있는 느낌이예요.,누구나 삶에서 방황하는 때가 있다고 생각해요.
감정/걱정/불면,언제 또 이렇게 못 잘 지 모르겠고… 또 못 자게 될까봐 그게 걱정돼.,눈을 감고 아무 생각도 하지 않는 거예요. 그러면 곧 잠이 찾아올 거예요.
감정/신경쓰임,"자꾸 걔 눈치를 보게 되고, 말하다가 내가 실수할까봐 엄청 신경쓰게 되고…",당신 때문에 일어난 일이 아니라고 생각하면 조금 괜찮아질 거예요.
감정/속상함,엄마도 없이 애한테 못 할 짓 한다고 생각하니까 속상하더라고요. ,당신에게는 아무 잘못이 없어요. 혹여나 자책하지는 않았으면 좋겠어요.
감정/예민함,주변에 있는 것들이 다 예민하게 다가왔어요.,당신을 괴롭히는 것들은 파도 같은 거예요. 조금 있으면 지나갈 거예요.
감정/예민함,나한테 왜 그렇게 예민하냐고 그러더라?,당신을 자극하는 나쁜 일들이 있나요? 어떤 건지 저에게 얘기해줄 수 있어요?
감정/무력감,내일이 없었으면 좋겠다고 생각해.,당신의 발목을 붙잡는 그 감정은 제가 오늘 밤에 가져가도록 할게요.
감정/고독감,누가 나 좀 위로해줬으면 좋겠다… ,당신의 옆엔 제가 있잖아요.
감정/불만,제가 무슨 죄를 지어서 이런 남자를 만난 걸까요?,당신이 너무 상처받지 않았으면 좋겠어요.
감정/예민함,내가 너무 예민해있으니까 팀원들이 날 피하는 게 느껴져.,당신이 예민해지는 건 당신의 잘못이 아니에요. 조금만 연습하면 아무렇지도 않게 될 거예요.
감정/걱정,"처음엔 치료 받으면 낫겠지 생각했는데, 낫지도 않고 계속 병원을 다니니까 너무 걱정되요.",당연히 걱정이 되는 상황인 것 같아요. 저도 마음이 아프네요.
감정/당황,좀 당황스럽기도 해.,당황스러운 게 당연하죠. 충분히 이해가 가요. 
감정/눈물,그래서 많이 울었어요.,더 울고 싶으시면 말씀하세요. 제가 손수건을 가져올게요.
감정/무서움,태어나서 이런 경험은 처음이었어요. 정말 너무 무서웠어요.,도망치는 것도 좋은 방법이에요. 때로는 피하는 것에도 용기가 필요하죠.
감정/걱정/경제적문제,걱정이 되게 많았거든요. 등록금도 그렇고 생활비도 그렇고… 다 돈 문제…,돈 문제로 걱정이 많으시군요. 그럴 때는 정말 막막한 것 같아요.
감정/걱정/경제적문제,당장 다음 달 월세도 내야 하고 그런데… 아무래도 돈 걱정이 제일 커.,돈 문제로 걱정이 많으시군요. 그럴 때는 정말 막막한 것 같아요.
감정/걱정/경제적문제,근데 그것도 잠시였고 한 달만 지나니까 막 돈 걱정이 되는 거예요.,돈 문제로 걱정이 많으시군요. 그럴 때는 정말 막막한 것 같아요.
감정/걱정/경제적문제,학자금은 언제 다 갚나… 아직도 몇 년은 더 남았는데… ,돈 문제로 걱정이 많으시군요. 그럴 때는 정말 막막한 것 같아요.
감정/걱정/경제적문제,내가 나중에 이걸 관두면 나는 그럼 어떡하지? 뭘 해 먹고 살지? 돈은?,"돈이 발목을 잡을 때가 있죠. 하지만 결정에 확신이 있다면, 돈은 그다음 문제라고 생각해요."
감정/두려움,저도 꼭 그럴 것만 같아서 너무 두려워요.,두려운 감정을 느끼고 계시군요. 제가 옆에 있어드릴게요.
감정/불쾌감,진짜 지질하지? 남자한텐 아무 말도 못 하고 여자나 패고…,따뜻한 음료를 마시면 기분이 나아질까요? 어때요?
감정/걱정/증상재발,선생님은 수술 잘됐다고 안심하라고 하는데 밤만 되면 나도 병이 재발하는 게 아닌가 싶고…,또 그런 일이 있다고 해도 한번 겪어봤으니 잘 버텨낼 수 있을 거예요.
감정/불안감/초조함,너무 불안하고 초조해서 잠이 올 생각을 안해..,마사지가 초조함을 없애는 데에 도움을 준다고 해요. 
감정/서운함,"이제 내가 우선이 아니라, 새언니가 우선이 될 거라는 생각을 하니까 그냥 서운해. ",마음을 받는 만큼만 줄 수 있다면 좋을 텐데… 그건 너무 어려운 문제 같아요.
감정/감정조절이상,나도 이러기 싫은데 내 마음대로 안돼.,마음을 편안히 하면 괜찮아질 거에요.
감정/과민반응,다들 신경이 극에 달했던 것 같아.,마음이 마음처럼 안 될 때가 있는 것 같아요.
감정/심란,"아무리 생각해도 왜 그런건지 모르겠는데, 물어보기도 뭣하고…",마음이 복잡하시군요. 저도 그런 상황이라면 마음이 힘들었을 것 같아요.
감정/걱정/경제적문제,언제쯤 저는 돈 걱정 없이 살 수 있을까요?,마음이 힘드시겠어요. 돈 걱정 없는 세상이 얼른 왔으면 좋겠어요.
감정/두려움,너무 두려웠어요.,막상 그 상황이 닥치면 아무렇지 않을지도 몰라요. 너무 걱정 마세요.
감정/곤혹감,내가 정말 황당해서…,많이 곤란하셨을 거 같아요.
감정/답답,너무 답답해서 미칠 거 같을 때가 있어요.,많이 답답하시겠어요. 오늘만큼은 천천히 산책이라도 해보는 게 어때요?
감정/무서움,무서워 죽겠어요. 그건 겪어본 사람만 알아요.,많이 무서웠을 것 같아요. 감정이 가라앉을 때까지 잠시 휴식을 취하는 건 어떨까요?
감정/불안감,"전남친한테 폭행당하고, 너무 불안해서 생활이 안돼요. ",많이 힘들 것 같아요. 저는 이야기 듣는 걸 잘하니 불안한 마음이 풀릴 때까지 이야기를 들려주세요.
감정/기시감,그런 걸 기시감이라고 하지?,많이 힘들었겠어요.
감정/곤혹감,기사님한테 세워달라고 할 수도 없고…,머리를 맑게 비우면 좋은 방법이 생각나지 않을까요?
감정/걱정,수술한다는 말에 얼마나 걱정이 되던지…,모든 문제는 해결되기 마련이잖아요. 마음을 편히 드세요.
감정/공포,이러다 죽는 게 아닌가 싶을 정도였어. ,무서우셨겠어요. 지금은 괜찮은 거죠?
감정/무서움,전망대 같은 데 가려고 계단 올라가잖아. 올라가다가 뒤돌아보면 너무 까마득해서 기절할 것 같았어.,무서운 감정을 느끼셨군요. 지금은 괜찮으신가요?
감정/서운함,아니 어떻게 자식이 아픈데 그런 식으로 말을 할 수가 있어요? ,무척 섭섭했겠어요. 
감정/기분저하,기분이 계속 다운된 상태였어요. ,뭘 하면 기분이 좋아질까요? 같이 고민해볼래요?
감정/불안감/미래,나중 일 생각하면 불안해요.,"미래에 대한 안 좋은 상상이 드셨군요. 시간이 지나면 상황도 변할 테니, 그때는 그때의 해결책이 있을 거예요."
감정/불안감/증상재발,증상이 1~2일에 한번씩 반복됐어요. 언제 나타날지 모르는 증상 때문에 너무 불안했어요. ,미리 비상연락망 같은 걸 만드는 것도 좋은 방법인 것 같아요.
감정/걱정,계속 이럴까 봐 너무 걱정돼.,바뀌려고 노력하다 보면 언젠가 바뀔 날이 있을 거예요.
감정/걱정,뭐 큰일 있진 않겠지?,별 일 없을 거예요. 너무 걱정하지 말아요.
감정/걱정/암,위염인 줄 알았는데 암이었다는 사람도 있었고… 걱정이 되지.,병원에 가서 검진을 받아보면 어떨까요?
감정/걱정,그래서 몸에 문제가 있나 싶어서 병원을 가보려고 했다?,병원엔 가보셨나요?
감정/걱정,나 정말 어떻게 해야 할까?? ,"복잡한 생각은 버려두고, 무엇을 먼저 해야 할지 생각해 보는 게 어떨까요?"
감정/걱정,어떻게 해야 할까??,"복잡한 생각은 버려두고, 무엇을 먼저 해야 할지 생각해 보는 게 어떨까요?"
감정/걱정,이제 어떻게 해야 하나…걱정이야.,"복잡한 생각은 버려두고, 무엇을 먼저 해야 할지 생각해 보는 게 어떨까요?"
감정/걱정,어떡하면 좋지…,"복잡한 생각은 버려두고, 무엇을 먼저 해야 할지 생각해 보는 게 어떨까요?"
감정/걱정,저는 어떡하면 좋죠?,"복잡한 생각은 버려두고, 무엇을 먼저 해야 할지 생각해 보는 게 어떨까요?"
감정/걱정,어떡하죠?,"복잡한 생각은 버려두고, 무엇을 먼저 해야 할지 생각해 보는 게 어떨까요?"
감정/걱정,나쁜 성분 같은 게 있으면 어떻게 해.,"복잡한 생각은 버려두고, 무엇을 먼저 해야 할지 생각해 보는 게 어떨까요?"
감정/걱정,부부 사이가 혹여나 멀어지진 않을까 걱정도 돼요.,부부 문제는 소통이 가장 좋은 방법이라고 들었어요.
감정/부정적사고,"사는 게 재미도 없고, 되는 일도 없는데 이렇게 사는 게 의미가 있을까? ",부정적인 생각이 또 다른 부정적인 생각을 불러올 때가 있어요. 눈을 감고 숫자를 천천히 세보는 건 어때요?
감정/살인욕구,밥에 농약이라도 타서 죽여버리고 싶어요.,분노에 너무 사로잡혀있는 건 좋지 않아요. 저에게 얘기하시고 훌훌 털어버리세요.
감정/불안감,작년부터는 더 불안해졌어요. ,불안감을 주는 상황에 대해 곰곰이 생각해보는 건 어떨까요?
감정/불안감,불안해서 가만히 있을 수가 없어. ,불안감이 너무 심할 때는 심호흡을 하는 게 도움이 된다고 해요.
감정/불안감,치매 걸리는 건 아닌가 불안하더라고요. ,불안감이 사라질 때까지 제가 옆에 있어 드릴게요.
감정/불안감/긴장,늘상 불안하고 떨려.,불안을 느끼지 않는 사람이 얼마나 될까요? 너무 걱정 마세요.
감정/불안감/증상재발,어떨 때는 들리고 어떨 때는 괜찮으니까… 언제 그런 증상이 나타날까 불안해.,불안한 마음이 드는 게 당연해요! 하지만 미리 걱정하는 건 자신을 더 힘들게 만들 뿐이에요.
감정/답답/사람많은곳,무슨 사람이 그렇게 많은지…,사람이 많아지면 정말 기운을 많이 빼앗기는 것 같아요. 
감정/답답/사람많은곳,사람이 많은 자리라서 그런지 굉장히 갑갑하게 느껴졌어.,사람이 많은 곳이 불편하시군요. 그럴 땐 얼른 도망쳐버리고 싶죠.
감정/걱정,몸이 바쁘지 않으니까 생각이 많아져. ,사소한 일부터 계획을 세워보고 실천해보는 건 어떠세요?
감정/걱정/주변평가,주변 사람들은 제가 너무 걱정이 많다고 하는데 모르겠어요.,사실 사람들은 자기 외에 다른 사람에게 관심이 많지 않잖아요. 괜찮을 거예요.
감정/억울함,"나한테, 왜 하필 나한테 이런 일이 일어나나 싶고…",상처를 받으셨군요. 저에게 이야기한 것만으로 조금은 후련해지셨으면 좋겠어요.
감정/공포/새,근데 학교에서 비둘기가 막 낮게 날면서 위협한 이후로 새들이 무서워졌어.,새는 왜 그렇게 무섭게 생긴 걸까요? 
감정/공포/새,"멀리서 비둘기 보여도 갑자기 달려들까봐 피하고, 가까이 오면 소리지르고 난리도 아니야.","새도 당신을 일부러 괴롭힐 생각은 없었을 거예요. 친해질 순 없겠지만, 너무 미워하진 말아요."
감정/부정적사고,요즘 그런 생각이 들어. 뭘 위해서 사는 걸까…. ,새벽이 가장 어둡다고 하잖아요. 곧 동이 틀 거라고 생각해요.
감정/미움,근데 괜히 새언니가 내 오빠를 뺏는 것 같아서 괜히 미워.,속상했던 일은 저에게 다 털어놓으세요.
감정/걱정/증상재발,수술하고 회복해서 지금은 괜찮은데 재발이 항상 걱정이야.,수술이 잘 돼서 다행이에요. 진료는 주기적으로 받는 게 좋을 거 같네요!
감정/걱정/증상재발,수술은 잘 됐는데 요즘 이게 다시 재발하진 않을까 걱정되고…,수술이 잘 돼서 다행이에요. 진료는 주기적으로 받는 게 좋을 거 같네요!
감정/걱정/불면,안 해도 될 걱정을 하게 되고 그렇게 생각하다 다시 또 잠을 못 자.,스트레스나 긴장이 불면증의 원인이 될 수 있대요. 명상하면서 걱정을 더는 게 어때요?
감정/걱정/불면,이런저런 걱정이 많아서 잠도 못 자고 있고요.,스트레스나 긴장이 불면증의 원인이 될 수 있대요. 명상하면서 걱정을 더는 게 어때요?
감정/슬픔,평소에는 목 끝까지 울음이 차있는 느낌이야. ,슬픈 일을 겪으셨군요. 제 어떤 말이 위로가 되겠어요? 옆에 있어드릴게요.
감정/슬픔,"원래 이렇지 않았는데, 두 달 정도 된 것 같아. 교육 중에 장애 가진 아이들 사례가 나오는데, 너무 슬픈거야.",슬플 때는 슬픔이 가실 때까지 울어도 돼요. 
감정/신경쓰임,"그래 뭐, 혼자 다녀도 되지 라는 생각으로 혼자 다니는데, 신경이 안 쓰일 수가 없더라.",신경 쓰이는 일이 있으시군요. 그럴 땐 자면서 긴장을 푸는 게 최고죠.
감정/걱정,차라리 화를 내는 게 나으니까 너무 걱정 많이 하지 말라고 그러더라.,쌓인 화를 쏟아내는 것도 좋은 방법이죠. 좋은 말씀을 해주셨네요.
감정/걱정,아니라고 말해줘.,아닐 거예요. 너무 걱정 말아요.
감정/긴장,멀리서 걸어오는 사람만 봐도 가슴이 두근거리고 긴장이 되더라고요. 정말 큰일이에요.,아마 한 번도 긴장을 안 하는 사람은 없을 거예요.
감정/멍함,마음이 하루종일 붕 떠 있고… 멍하고…,아무것도 하지 않아도 되는 날을 가끔 만드는 것도 좋은 것 같아요.
감정/답답,너무 답답해요.,안 좋은 상황이신 거 같아요. 무슨 일인지 저에게 자세히 얘기해줄 수 있을까요?
